행정구역,2025년03월_65세이상전체
서울특별시 동대문구 (1123000000),"70,188"
서울특별시 동대문구 용신동(1123053600),"6,980"
서울특별시 동대문구 제기동(1123054500),"5,900"
서울특별시 동대문구 전농제1동(1123056000),"6,517"
서울특별시 동대문구 전농제2동(1123057000),"4,147"
서울특별시 동대문구 답십리제1동(1123060000),"4,679"
서울특별시 동대문구 답십리제2동(1123061000),"6,304"
서울특별시 동대문구 장안제1동(1123065000),"7,632"
서울특별시 동대문구 장안제2동(1123066000),"6,161"
서울특별시 동대문구 청량리동(1123070500),"5,923"
서울특별시 동대문구 회기동(1123071000),"1,587"
서울특별시 동대문구 휘경제1동(1123072000),"2,183"
서울특별시 동대문구 휘경제2동(1123073000),"4,490"
서울특별시 동대문구 이문제1동(1123074000),"3,345"
서울특별시 동대문구 이문제2동(1123075000),"4,340"
